la table (f.)	de tafel. *une table pour deux* = een tafel voor twee (personen).							
la terrasse (f.)	het (buiten)terras (café, restaurant).							
un coca (m., fam.) / un coca cola (souvent m.)	een cola; *bien sûr* = natuurlijk / zeker. *par exemple* = bijvoorbeeld (uitgesproken, niet afgekort *p.ex.* in kaart).							
l’eau (f.) (plus tard: plate / gazeuse, …	water; *ou* = of (keuze). Simpel: *de l’eau* = water (drank) op A1; details later.							
la glace (f., ici: glaçon)	ijs, ijsblok. *Avec beaucoup de glace* = met veel (ijs) in het glas — opletten: *la glace* = ook roomijs in andere contexten.							
c’est combien	hoeveel (kost) het, wat kost (dat)?; typisch: vóór betaling.							
l’euro (m.) (pl. les euros, souvent invariable au prix)	euro. *Huit euros* = acht euro (klinkt, prijs: vaak *euros*).							
le comptoir (m.) (caissier, autre leçon)	de toonbank, balie. *au comptoir* = aan de toonbank. *le caissier* = de kassamedewerker (leçon plus tard).							
voilà (particule)	alstublieft (aanreiken). *Tenez* = hier (betalen) — in dialoog *Voici* / *Tenez* door elkaar.							
bon appétit (formule)	Eet smakelijk! (ook koud, informeel, gezellig.)							
bien sûr (loc. fam.) / ou (conj.) / par exemple (loc.)	natuurlijk; of; bijvoorbeeld. Eenvoudige schakelwoorden, mondeling A1.							
madame (titre) — ici, au service	In deze les: *madame* (mevrouw) aanspraken, veiliger in België/Frankrijk dan *mademoiselle* in veel contexten. Zie uitleg in klas.							
